pubkey,Total Rewards,Proposal Created & passed,Bonus,"Total Rewards P1, P2",P3 Calls Active,P3 Calls Participating,P3 Calls Raffle,Total Calls Rewards,totalproposalscreated,communitypropcreatorpassed,depositedvotes,alltimerewards,DNQ,councildepositedvotes,unstakedvotes,firstparticipationdate,lastparticipationdate,totalvotes,totalvotesfor,totalvotesagainst,totalproposalparticipation,totalcouncilvotes,CommunityVotes,Voting Reward,totalproposalsfor,totalproposalsagainst,totalcouncilproposalscreated,councilpropcreatorpassed,totalcouncilvotesfor,totalcouncilvotesagainst,rewards
2TVDDQzDhcRQrLL8xxK5HmVeGXj3tnZrAE49FnqjRnpJ,,,,,,,,,0,0,0,27322.5,,0,39803,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2uNCuNwP1dnkWBbPLDsEATRvJaoEbXMaRRbA6Di37syG,,,,,,,,,0,0,0,31223.1875,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2Wizu6M1XhJvGhw4kpZL8QLQqu295rNFAKEss1DcPofa,,,,,,,,,0,0,1958,610,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2X9UKSS1pEdE5Br7zv6wGRLi4f2Tw1jKF6ND7Cn2wJ8z,,,,,,,,,0,0,0,2100,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2xcf5XSh3brDD2nvbDM1BSE8upZcwRfnZa8hoQkAQTKJ,,,,,,,,,0,0,0,1535,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2xRMvUtr88hLcLkFD1vfSADkQW92S3JxFF2vuV5pVGLr,,,,,,,,,0,0,0,1280,,0,1359,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2yCQZVCn9tvKMPWie6Cw6xzMfW7rHLAEYis9FNRpjhKp,,,,,,,,,0,0,0,0,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2Yorr88QZQ8Es49gnRT6zrcEoVRjNJkK9XwFCNP28x99,,,,,,,,,0,0,0,53294,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
2YxHRtQJ914rQkxqyFYC1VxfpJWMZHLqc7SAMPVjipRv,,,,,,,,,0,0,0,1100,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
31oUjo2Z9HafY2nzfBUpavXazEgmAvBH8HMS7vgb8Kbd,,,,,,,,,0,0,0,17770,,0,126416,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
34Wmv58UF8HUmjdcWdCZVU9o7h8N5h2fTozqRwh9mucM,,,,,,,,,0,0,71503,4455,,0,31210,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
35v6gwHJHYXJeBSuZmda6jNP4p1SULa9EXmBTqtAtZUc,,,,,,,,,0,0,0,25322.500003,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
35WFoVsY84yDu2htaTC2WFBW7yMfsLTjKLgPDZGPmpjW,,,,,,,,,0,0,6530,1320,,0,215,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
36b1juUgcv7gpAJBzJSpanTaKc3hLymVvq1thk952KC7,,,,,,,,,0,0,1711,115,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
376x43EFbL1ctBg44tyRDgSkJoP6d4SebryTYQsrycAf,,,,,,,,,0,0,0,2197.6000000000000,,0,246,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
39uzgTY1HVGwHVb8hdYEkCwedu8BFxPXg1MQJa58rxcF,,,,,,,,,0,0,33936,1875,,0,21215,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3bkjQQwCb9E8gHrdeaF4HuAPoqqEaoEY1E2AoCHKBygq,,,,,,,,,0,0,24951,10330,,0,26,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3BKp6sca3V4uQfyGdPxs11mEQTEshG92qhGvoDsRjssZ,,,,,,,,,0,0,0,0,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3bMUvdjeaqmvtM1NvzAxV9h4yxNDSJj55kYdVHXcDtZi,,,,,,,,,0,0,0,6260,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3CmdAVwb6z8f7vNyxPPzCeUvAekvz3w2gVygm9tFkQwo,,,,,,,,,0,0,0,5925,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3CPrbJewAwqDsU3Pirm8MowDiZKVzRof95G1ZbimaX5t,,,,,,,,,0,0,0,110,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3cx9UxeRyUH4r7mweHFfgHELEUS2GBiFAXyy5auWrRDZ,,,,,,,,,0,0,23806,11330,,0,15845,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3dJwAcXi8DiqhLqsWr2DJYRwQZbFjR7APvXM5pEcy6fj,,,,,,,,,0,0,31649,10330,,0,2900,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3Efr7xvv6fbmYHt2kfiTPMrwQNmW364yVKVWid6qJX1Y,,,,,,,,,0,0,0,39710,,0,1,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3enuFSFXJDjJKpMrTx6u89oJGxmRRKeSowSCCk7iZRbH,,,,,,,,,0,0,55,0,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3eRpxbaTWx8vS2qKhC4h2aYQXPBzxcG6cFf8xrNdck64,,,,,,,,,0,0,0,0,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3H6mb7Sm2CQ1Jfh3fA8gMsYSv4g7pVg1LGg6wqsMYWqp,,,,,,,,,0,0,62,0,,0,2900,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3hsRgJN7Aiczm6KCwXhxbCyALpawJQdaxUgJx6DYu74Y,,,,,,,,,0,0,0,1850,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3ieBTupckUZa2TCWbXX5rFkeVmsDPcoQMazTQP6kLisg,,,,,,,,,0,0,101468,8178,,0,8178,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3JkznmhmZ3fU6nnpuX8JHnUKdy4BmhKMUhBoprJN43Px,,,,,,,,,0,0,41,0,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3K5o38rp2xswi4wuHSmmdqQbFd4btDyMzoSBfX4DDuw7,,,,,,,,,0,0,0,29784.1875,,0,11475,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
3KPsUE8TF8Pb8UqHgmACYLHDrkBisR8JvgLmjHsct7s4,,,,,,,,,0,0,0,24603,,0,0,null,null,0,0,0,0,0,,,0,0,0,0,0,0,0
