pubkey,Totalrewards,proposalcreation,voting,callparticipation,raffle,totalproposalparticipation,communitypropcreatorpassed,depositedvotes,alltimerewards,baseline,elgible,councildepositedvotes,unstakedvotes,firstparticipationdate,lastparticipationdate,totalvotes,totalvotesfor,totalvotesagainst,totalcouncilproposalscreated,councilpropcreatorpassed,totalcouncilvotes,totalcouncilvotesagainst,rewards
EjSQWTKV56T5212EkqfipLCrAcZaTyiapCFVJyLDetxL,5263,,5263,,,1,0,72277,65219.82,45653.87,TRUE,0,0,1707854444,1707854444,63287,63287,0,0,0,0,0,8990
2v8Y2TgoU1soWiDv4u1PtTc6kCaM4rnZFQfVa9DoBn59,5263,,5263,,,1,0,0,8990,6293,FALSE,0,0,1707854444,1707854444,6265,6265,0,0,0,0,0,8990
HM5RokQ9rSbwirY4cETKEu7ZUDXQYMjTabySpfSb8FjK,5263,,5263,,,1,0,19648,0,0,TRUE,0,1202,1708447165,1708447165,19648,19648,0,0,0,0,0,0
4V1ahWggQghQUhifW2ryoNoEa1jf3uS68Pxrydp4xnGX,5263,,5263,,,1,0,19684,45631.240000000000,31941.868000000000,FALSE,0,0,1707854444,1707854444,19684,19684,0,0,0,0,0,0
G3RqjmAsinYPaUXQ2wwCz3bjW6z47QSsi66pr1aik6mx,5263,,5263,,,1,0,0,4495,3146.5,FALSE,0,0,1707854444,1707854444,2,2,0,0,0,0,0,4495
H5iFukwM83NUXkY2gJJ1LTmVW33GawrrzbmNy9vmcd2g,5263,,5263,,,1,0,70,0,0,TRUE,0,82,1707854444,1707854444,50,50,0,0,0,0,0,0
86EoiTHti5Q9ow4yaojSzUaWafmXh58joWgkjx1FsxRJ,5263,,5263,,,1,0,20063,6813,4769.1,TRUE,0,0,1707854444,1707854444,20063,20063,0,0,0,0,0,0
govvJmmaiTEiXfHuALVXq6WbkyY1KZpZo5DCuMyY1mi,0,,0,,,0,0,0,0,0,FALSE,0,1,null,null,0,0,0,0,0,0,0,0
3PKhzE9wuEkGPHHu2sNCvG86xNtDJduAcyBPXpE6cSNt,0,,0,,,0,0,0,468277.210004,327794.047003,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
CinHb6Xt2PnqKUkmhRo9hwUkixCcsH1uviuQqaTxwT9i,0,,0,,,0,0,1581129,290415.014147,203290.509903,TRUE,1,0,null,null,0,0,0,0,0,0,0,0
2mQcLgaGdZvV1K7Yk3yCz5vVJkHzT5TQtbugAhfZHKvo,0,,,,,0,0,29079,12385,8669.5,TRUE,0,0,null,null,0,0,0,0,0,0,0,0
3nH5zTa2d16Z2TQmkohQvyvPJizQuuMHKaaaNDxiwXnM,0,,,,,0,0,0,1885,1319.5,FALSE,0,7419,null,null,0,0,0,0,0,0,0,0
C1FXJo9uU2fekRjemArrcrbBVvaSwfWaeSJsasDL7N9a,0,,,,,0,0,1875,68217.50000100000,47752.25000070000,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
BX1Jwuksm2hSwwvQNeRjKK9Sd4qWphQ9ckRTuGsWTaNG,0,,,,,0,0,0,1000,700,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
AM7Quc1ppXUpgHXhWr5mXJVXoyAaTcY5942ULPMaDR8q,0,,,,,0,0,0,4405,3083.5,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
A7Cnu8Q2E3Pxz4QtWpG26acy9YMrFEeNVFHN42djxsZF,0,,,,,0,0,0,0,0,FALSE,0,1005,null,null,0,0,0,0,0,0,0,0
Grs77yYASLnFQ7FPTsD1oP7cSWA6Pa1cKKvEmTkEvtF5,0,,,,,0,0,0,0,0,FALSE,0,64,null,null,0,0,0,0,0,0,0,0
7XRMVGHZdAu2vMaY1wG3SNFSua9PaN5dxNN1iokZ5tSx,0,,,,,0,0,0,835,584.5,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
GxRK5RAbP9JHaJbtwPqks2XwAbYbo1c1pEMperZc31JU,0,,,,,0,0,0,8640,6048,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
9A7SSedx9mGi2qsgDaEKWc3dLPDCznpNcM6PfsDjdui5,0,,,,,0,0,0,35631,24941.7,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
2xcf5XSh3brDD2nvbDM1BSE8upZcwRfnZa8hoQkAQTKJ,0,,,,,0,0,0,1535,1074.5,FALSE,0,0,null,null,0,0,0,0,0,0,0,0
