pubkey,TotalRewards,communitypropcreatorpassed,depositedvotes,alltimerewards,base_elgible_level,is_elgible,totalproposalparticipation,VotingReward,CallRewards,RaffleReward,CreationRewardCapped,totalproposalscreated,councildepositedvotes,unstakedvotes,firstparticipationdate,lastparticipationdate,totalvotes,totalvotesfor,totalvotesagainst,totalcouncilvotes,totalproposalsfor,totalproposalsagainst,totalcouncilproposalscreated,councilpropcreatorpassed,totalcouncilvotesfor,totalcouncilvotesagainst,rewards
55RPYGrfzaBctai7nSw2QgoJL3bMzKvihtiDpVcJLFWe,0,0,0,470,329,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
J1ekBJffrhumo67tx7UtBBQAuNWgoN13FCxDQCKjjjvG,0,0,0,60,42,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
VVHYnG3fb96YQeZCf7a4nTNr22dX8VveUZqENbuHwAi,0,0,0,17847.3125,12493.1188,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
5ANdHqaZsiy82bhgfQ771H74b6SFyRaj6Cfw2vjCDbrN,0,0,1691,425,297.5,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
85KeLnZn4za1G6SZdfxyTQ5zSUgxB5uNwPyAoA1yVCy3,0,0,34530,8485,5939.5,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
7dMskWAgwv4EyQykEbnieDNZs5xDrJN6Ma6LKY5xyd1d,0,0,36903,12900,9030,TRUE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
D7o5YEE6ZTnQPRd2nbdoK1rRP83mLLoapoBWgkSJFUHL,0,0,0,17102,11971.4,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
5EWZJyrBXCmxdr8S6d5k9xTdTcUoVidoiU1UUF9CdB7g,0,0,499,122580.312501,85806.218751,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
2su7qMHkRNsTEjHdzkHA5hzvA8UohHNoV6JhLsUXms7a,0,0,0,320,224,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
6jKm7ZhikmmhT8i3q1wrhM5FRQoktAKbLhn6XFCyj5ro,0,0,0,4605,3223.5,FALSE,0,0,,,,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0,0
